Step: 418, Loss: 5.308136, Tokens/sec: 12045.16
Step: 419, Loss: 5.337494, Tokens/sec: 12218.01
Step: 420, Loss: 4.888510, Tokens/sec: 12153.70
Step: 421, Loss: 5.260889, Tokens/sec: 12176.77
Step: 422, Loss: 5.072947, Tokens/sec: 12143.04
Step: 423, Loss: 4.824737, Tokens/sec: 12188.73
Step: 424, Loss: 4.472517, Tokens/sec: 12169.22
Step: 425, Loss: 5.250167, Tokens/sec: 12188.25
Step: 426, Loss: 4.881360, Tokens/sec: 12149.60
Step: 427, Loss: 4.950020, Tokens/sec: 12122.64
Step: 428, Loss: 4.758012, Tokens/sec: 12246.30
Step: 429, Loss: 4.725122, Tokens/sec: 12139.74
Step: 430, Loss: 4.742661, Tokens/sec: 12240.51
Step: 431, Loss: 5.013318, Tokens/sec: 12181.99
Step: 432, Loss: 4.379054, Tokens/sec: 12126.65
Step: 433, Loss: 5.046035, Tokens/sec: 12172.22
Step: 434, Loss: 5.491829, Tokens/sec: 12209.95
Step: 435, Loss: 5.441095, Tokens/sec: 12099.25
Step: 436, Loss: 5.426270, Tokens/sec: 12166.70
Step: 437, Loss: 5.282077, Tokens/sec: 12071.55
Step: 438, Loss: 5.261227, Tokens/sec: 12253.17
Step: 439, Loss: 4.970388, Tokens/sec: 12133.74
Step: 440, Loss: 5.259003, Tokens/sec: 12231.18
Step: 441, Loss: 5.247169, Tokens/sec: 12163.46
Step: 442, Loss: 5.600952, Tokens/sec: 12167.24
Step: 443, Loss: 5.707299, Tokens/sec: 12180.92
Step: 444, Loss: 5.387685, Tokens/sec: 12103.15
Step: 445, Loss: 5.581495, Tokens/sec: 12176.22
Step: 446, Loss: 5.153974, Tokens/sec: 12182.78
Step: 447, Loss: 5.004365, Tokens/sec: 12133.53
Step: 448, Loss: 5.104719, Tokens/sec: 12040.94
Step: 449, Loss: 5.090705, Tokens/sec: 12307.64
Step: 450, Loss: 5.028903, Tokens/sec: 11932.74
Step: 451, Loss: 5.322136, Tokens/sec: 12156.84
Step: 452, Loss: 5.051415, Tokens/sec: 12176.77
Step: 453, Loss: 4.996270, Tokens/sec: 12120.04
Step: 454, Loss: 5.054299, Tokens/sec: 12201.30
Step: 455, Loss: 5.220763, Tokens/sec: 12126.48
Step: 456, Loss: 4.990945, Tokens/sec: 12452.25
Step: 457, Loss: 4.811795, Tokens/sec: 11998.61
Step: 458, Loss: 4.512799, Tokens/sec: 12105.66
Step: 459, Loss: 4.747781, Tokens/sec: 11965.30
Step: 460, Loss: 4.680754, Tokens/sec: 12161.22
Step: 461, Loss: 4.881335, Tokens/sec: 12183.86
Step: 462, Loss: 5.074312, Tokens/sec: 12175.55
Step: 463, Loss: 4.598664, Tokens/sec: 12200.75
Step: 464, Loss: 4.953016, Tokens/sec: 12059.64
Step: 465, Loss: 4.543701, Tokens/sec: 12131.37
